pi0_count	pi+_count	kaon0_count	kaon+_count	proton_count	neutron_count
pi0_mass	pi+_mass	kaon0_mass	kaon+_mass	proton_mass	neutron_mass
pi0_pt	pi+_pt	kaon0_pt	kaon+_pt	proton_pt	neutron_pt
0.359791 0.377663 0 0.41775 0.201043 0.151321
394 337 0 43 176 260
0.135 0.139601 0 0.493601 0.939382 0.939842
0.356305 0.377365 0 0.594489 0.18185 0.11278
427 364 0 40 188 253
0.135001 0.139596 0 0.493603 0.939426 0.93983
0.353107 0.359912 0 0.582101 0.186897 0.170936
467 396 0 47 184 240
0.135001 0.139611 0 0.493604 0.939361 0.939851
0.329979 0.355187 0 0.493209 0.149327 0.122717
445 347 0 45 190 239
0.135001 0.139597 0 0.493605 0.956352 0.93983
0.339287 0.359439 0 0.463128 0.208742 0.132111
573 487 0 70 187 255
0.134998 0.1396 0 0.493598 0.939297 0.939825
0.329603 0.358671 0 0.524214 0.227837 0.187647
359 304 0 31 193 249
0.134997 0.139602 0 0.493599 0.939402 0.939839
0.347635 0.340446 0 0.537593 0.157602 0.122848
581 477 0 63 194 259
0.134999 0.139598 0 0.493599 0.939432 0.93982
0.338818 0.363502 0 0.378427 0.209063 0.181133
660 562 0 74 209 240
0.134991 0.139604 0 0.493598 0.939305 0.939794
0.351175 0.369001 0 0.471948 0.238775 0.163162
488 430 0 51 176 256
0.135001 0.139607 0 0.493601 0.93945 0.939814
0.344537 0.35534 0 0.451199 0.134529 0.176919
332 295 0 38 194 243
0.134997 0.139578 0 0.493595 0.939346 0.939849
0.337466 0.354727 0 0.559057 0.18372 0.128335
547 460 0 63 184 250
0.134999 0.139601 0 0.493597 0.939357 0.939821
0.324987 0.357325 0 0.449698 0.153258 0.174223
693 568 0 79 187 248
0.135001 0.1396 0 0.493599 0.939276 0.939821
0.321048 0.35729 0 0.491632 0.23138 0.169017
706 598 0 63 202 261
0.135 0.139598 0 0.493605 0.939162 0.939799
0.351441 0.352908 0 0.5962 0.256363 0.172363
619 478 0 70 193 255
0.134998 0.139601 0 0.493604 0.939315 0.939815
0.345535 0.374203 0 0.455536 0.209337 0.176851
529 457 0 67 189 261
0.134997 0.139607 0 0.493603 0.939386 0.93981
0.339706 0.384938 0 0.429272 0.197962 0.177109
532 459 0 58 189 254
0.135004 0.139599 0 0.493601 0.939279 0.939823
0.368696 0.365254 0 0.541321 0.20741 0.178077
463 436 0 53 193 247
0.134996 0.139604 0 0.4936 0.939991 0.939838
0.343064 0.372174 0 0.391482 0.188511 0.136868
358 328 0 37 180 250
0.134996 0.139596 0 0.4936 0.939502 0.939827
0.329431 0.366824 0 0.464482 0.13569 0.149721
432 392 0 39 184 260
0.135005 0.139596 0 0.493599 0.939366 0.939813
